"x","job","season","strategy","process"
"0.54","Job-4","Season-2","Strategy-1","Process-3"
"0.62","Job-4","Season-2","Strategy-1","Process-3"
"0.12","Job-3","Season-2","Strategy-1","Process-3"
"0.12","Job-3","Season-2","Strategy-1","Process-3"
"0.34","Job-4","Season-2","Strategy-1","Process-3"
"0.22","Job-3","Season-2","Strategy-1","Process-3"
"0.43","Job-4","Season-2","Strategy-1","Process-3"
"0.67","Job-3","Season-1","Strategy-1","Process-3"
"1.4","Job-3","Season-1","Strategy-1","Process-3"
"0.88","Job-4","Season-4","Strategy-1","Process-3"
"0.91","Job-4","Season-4","Strategy-1","Process-3"
"0.19","Job-4","Season-2","Strategy-1","Process-3"
"<0.1","Job-3","Season-2","Strategy-1","Process-2"
"0.12","Job-3","Season-2","Strategy-1","Process-2"
"0.33","Job-3","Season-3","Strategy-1","Process-3"
"0.33","Job-3","Season-3","Strategy-1","Process-3"
"0.41","Job-3","Season-3","Strategy-1","Process-3"
"0.3","Job-3","Season-1","Strategy-1","Process-3"
"0.53","Job-4","Season-1","Strategy-1","Process-3"
"0.34","Job-3","Season-1","Strategy-1","Process-3"
"0.2","Job-4","Season-1","Strategy-1","Process-3"
"0.17","Job-2","Season-3","Strategy-1","Process-1"
"0.26","Job-3","Season-3","Strategy-1","Process-1"
"0.06","Job-2","Season-4","Strategy-1","Process-1"
"0.13","Job-2","Season-4","Strategy-1","Process-1"
"0.29","Job-3","Season-4","Strategy-1","Process-1"
"0.07","Job-2","Season-4","Strategy-1","Process-1"
"0.15","Job-3","Season-4","Strategy-1","Process-1"
"0.03","Job-2","Season-4","Strategy-1","Process-1"
"0.07","Job-3","Season-4","Strategy-1","Process-1"
"0.05","Job-2","Season-4","Strategy-1","Process-1"
"0.09","Job-2","Season-4","Strategy-1","Process-1"
"0.37","Job-3","Season-1","Strategy-1","Process-1"
"0.4","Job-3","Season-1","Strategy-1","Process-1"
"0.2","Job-3","Season-1","Strategy-1","Process-1"
"0.24","Job-3","Season-1","Strategy-1","Process-1"
"0.26","Job-3","Season-1","Strategy-1","Process-1"
"0.31","Job-3","Season-1","Strategy-1","Process-1"
"0.36","Job-3","Season-1","Strategy-1","Process-1"
"0.18","Job-3","Season-1","Strategy-1","Process-1"
"0.16","Job-2","Season-1","Strategy-1","Process-1"
"0.22","Job-3","Season-1","Strategy-1","Process-1"
"0.26","Job-3","Season-1","Strategy-1","Process-1"
"0.29","Job-3","Season-1","Strategy-1","Process-1"
"0.31","Job-3","Season-1","Strategy-1","Process-1"
"0.33","Job-3","Season-1","Strategy-1","Process-1"
"1.07","Job-3","Season-1","Strategy-1","Process-1"
"0.1","Job-2","Season-3","Strategy-1","Process-3"
"0.11","Job-2","Season-3","Strategy-1","Process-3"
"0.29","Job-3","Season-3","Strategy-1","Process-3"
"0.23","Job-3","Season-3","Strategy-1","Process-1"
"0.39","Job-3","Season-3","Strategy-1","Process-1"
"0.26","Job-3","Season-3","Strategy-1","Process-1"
"0.17","Job-3","Season-4","Strategy-1","Process-1"
"0.05","Job-1","Season-4","Strategy-1","Process-2"
"0.12","Job-3","Season-4","Strategy-1","Process-2"
"0.04","Job-3","Season-4","Strategy-1","Process-2"
"0.05","Job-3","Season-4","Strategy-1","Process-2"
"0.07","Job-3","Season-4","Strategy-1","Process-2"
"0.21","Job-3","Season-1","Strategy-1","Process-2"
"0.24","Job-3","Season-3","Strategy-1","Process-3"
"0.29","Job-3","Season-3","Strategy-1","Process-3"
"0.45","Job-3","Season-3","Strategy-1","Process-3"
"0.77","Job-3","Season-3","Strategy-1","Process-3"
"0.12","Job-2","Season-3","Strategy-1","Process-3"
"0.12","Job-2","Season-3","Strategy-1","Process-3"
"0.16","Job-2","Season-3","Strategy-1","Process-3"
"0.29","Job-2","Season-3","Strategy-1","Process-3"
"0.41","Job-3","Season-3","Strategy-1","Process-3"
"0.16","Job-3","Season-3","Strategy-1","Process-3"
"0.16","Job-3","Season-3","Strategy-1","Process-3"
"0.16","Job-3","Season-3","Strategy-1","Process-3"
"0.29","Job-3","Season-3","Strategy-1","Process-3"
"0.33","Job-3","Season-3","Strategy-1","Process-3"
"<0.04","Job-3","Season-3","Strategy-1","Process-3"
"0.08","Job-3","Season-3","Strategy-1","Process-3"
"0.12","Job-3","Season-3","Strategy-1","Process-3"
"0.16","Job-3","Season-3","Strategy-1","Process-3"
"0.24","Job-3","Season-3","Strategy-1","Process-3"
"0.41","Job-2","Season-3","Strategy-1","Process-3"
"0.44","Job-2","Season-3","Strategy-1","Process-3"
"0.77","Job-3","Season-3","Strategy-1","Process-3"
"<0.04","Job-1","Season-1","Strategy-1","Process-1"
"0.03","Job-1","Season-1","Strategy-1","Process-1"
"0.02","Job-1","Season-1","Strategy-1","Process-1"
"<0.04","Job-1","Season-1","Strategy-1","Process-1"
"0.02","Job-1","Season-1","Strategy-1","Process-1"
"<0.06","Job-1","Season-1","Strategy-1","Process-1"
"0.06","Job-3","Season-3","Strategy-1","Process-2"
"0.05","Job-2","Season-3","Strategy-1","Process-2"
"0.06","Job-2","Season-3","Strategy-1","Process-2"
"0.08","Job-3","Season-3","Strategy-1","Process-2"
"<0.05","Job-2","Season-3","Strategy-1","Process-2"
"0.05","Job-3","Season-3","Strategy-1","Process-2"
"0.11","Job-2","Season-3","Strategy-1","Process-1"
"0.2","Job-3","Season-3","Strategy-1","Process-1"
"0.17","Job-2","Season-3","Strategy-1","Process-1"
"0.26","Job-3","Season-3","Strategy-1","Process-1"
"0.12","Job-3","Season-3","Strategy-1","Process-1"
"0.14","Job-3","Season-3","Strategy-1","Process-1"
"0.13","Job-2","Season-3","Strategy-1","Process-1"
"0.14","Job-2","Season-3","Strategy-1","Process-1"
"0.08","Job-3","Season-3","Strategy-1","Process-2"
"0.14","Job-3","Season-3","Strategy-1","Process-2"
"0.07","Job-3","Season-3","Strategy-1","Process-2"
"0.07","Job-3","Season-3","Strategy-1","Process-2"
"<0.05","Job-1","Season-2","Strategy-1","Process-2"
"0.04","Job-3","Season-1","Strategy-1","Process-2"
"<0.05","Job-1","Season-1","Strategy-1","Process-2"
"<0.05","Job-1","Season-1","Strategy-1","Process-2"
"<0.05","Job-1","Season-1","Strategy-1","Process-2"
"0.07","Job-3","Season-3","Strategy-1","Process-2"
"0.07","Job-2","Season-3","Strategy-1","Process-2"
"<0.05","Job-1","Season-3","Strategy-1","Process-2"
"<0.05","Job-2","Season-3","Strategy-1","Process-2"
"<0.05","Job-1","Season-3","Strategy-1","Process-2"
"0.08","Job-2","Season-3","Strategy-1","Process-2"
"0.21","Job-4","Season-4","Strategy-1","Process-2"
"0.34","Job-4","Season-4","Strategy-1","Process-2"
"0.45","Job-4","Season-4","Strategy-1","Process-2"
"0.07","Job-3","Season-4","Strategy-1","Process-2"
"0.07","Job-3","Season-4","Strategy-1","Process-2"
"0.2","Job-4","Season-4","Strategy-1","Process-2"
"0.08","Job-2","Season-4","Strategy-1","Process-2"
"0.16","Job-3","Season-1","Strategy-1","Process-3"
"0.2","Job-3","Season-1","Strategy-1","Process-3"
"0.26","Job-3","Season-1","Strategy-1","Process-3"
"0.26","Job-3","Season-1","Strategy-1","Process-3"
"0.27","Job-3","Season-1","Strategy-1","Process-3"
"0.34","Job-2","Season-3","Strategy-1","Process-2"
"0.54","Job-3","Season-3","Strategy-1","Process-2"
"0.07","Job-3","Season-4","Strategy-1","Process-3"
"0.14","Job-3","Season-4","Strategy-1","Process-3"
"0.16","Job-3","Season-4","Strategy-1","Process-3"
"0.31","Job-3","Season-4","Strategy-1","Process-3"
"0.33","Job-3","Season-4","Strategy-1","Process-3"
"0.39","Job-3","Season-4","Strategy-1","Process-3"
"0.41","Job-3","Season-4","Strategy-1","Process-3"
"0.14","Job-3","Season-4","Strategy-1","Process-3"
"0.14","Job-3","Season-4","Strategy-1","Process-3"
"0.28","Job-3","Season-4","Strategy-1","Process-3"
"<0.06","Job-3","Season-4","Strategy-1","Process-3"
"0.06","Job-3","Season-4","Strategy-1","Process-3"
"0.17","Job-3","Season-4","Strategy-1","Process-3"
"0.22","Job-3","Season-4","Strategy-1","Process-3"
"<0.07","Job-3","Season-2","Strategy-1","Process-2"
"<0.06","Job-1","Season-3","Strategy-1","Process-2"
"0.29","Job-2","Season-3","Strategy-1","Process-1"
"0.08","Job-3","Season-3","Strategy-1","Process-3"
"0.16","Job-3","Season-3","Strategy-1","Process-3"
"0.24","Job-3","Season-3","Strategy-1","Process-3"
"0.24","Job-3","Season-3","Strategy-1","Process-3"
"0.33","Job-3","Season-3","Strategy-1","Process-3"
"0.33","Job-2","Season-3","Strategy-1","Process-3"
"0.45","Job-3","Season-3","Strategy-1","Process-3"
"0.53","Job-3","Season-3","Strategy-1","Process-3"
"0.34","Job-2","Season-3","Strategy-1","Process-1"
"0.51","Job-2","Season-3","Strategy-1","Process-1"
"0.08","Job-3","Season-4","Strategy-1","Process-2"
"<0.09","Job-3","Season-4","Strategy-1","Process-2"
"0.16","Job-3","Season-4","Strategy-1","Process-3"
"0.33","Job-3","Season-4","Strategy-1","Process-3"
"0.24","Job-3","Season-4","Strategy-1","Process-3"
"0.39","Job-3","Season-4","Strategy-1","Process-3"
"0.73","Job-2","Season-4","Strategy-1","Process-3"
"1.3","Job-3","Season-4","Strategy-1","Process-3"
"0.08","Job-4","Season-4","Strategy-1","Process-2"
"0.26","Job-3","Season-1","Strategy-1","Process-3"
"0.37","Job-3","Season-1","Strategy-1","Process-3"
"0.64","Job-2","Season-1","Strategy-1","Process-3"
"0.81","Job-3","Season-3","Strategy-1","Process-3"
"0.08","Job-3","Season-2","Strategy-2","Process-1"
"0.08","Job-3","Season-2","Strategy-2","Process-1"
"0.08","Job-3","Season-2","Strategy-2","Process-1"
"0.08","Job-3","Season-2","Strategy-2","Process-1"
"0.08","Job-3","Season-2","Strategy-2","Process-1"
"0.08","Job-2","Season-2","Strategy-2","Process-1"
"0.08","Job-2","Season-2","Strategy-2","Process-1"
"0.11","Job-3","Season-2","Strategy-2","Process-1"
"0.11","Job-3","Season-2","Strategy-2","Process-1"
"0.17","Job-3","Season-2","Strategy-2","Process-1"
"0.14","Job-2","Season-2","Strategy-2","Process-1"
"0.16","Job-3","Season-2","Strategy-2","Process-1"
"0.2","Job-2","Season-2","Strategy-2","Process-1"
"0.27","Job-3","Season-2","Strategy-2","Process-1"
"0.28","Job-3","Season-2","Strategy-2","Process-1"
"0.19","Job-3","Season-2","Strategy-2","Process-1"
"0.37","Job-3","Season-2","Strategy-2","Process-1"
"0.37","Job-3","Season-2","Strategy-2","Process-1"
"<0.06","Job-2","Season-1","Strategy-2","Process-2"
"0.06","Job-3","Season-1","Strategy-2","Process-2"
"0.05","Job-3","Season-1","Strategy-2","Process-2"
"0.06","Job-3","Season-1","Strategy-2","Process-2"
"0.07","Job-3","Season-1","Strategy-2","Process-2"
"<0.07","Job-3","Season-1","Strategy-2","Process-3"
"0.08","Job-3","Season-1","Strategy-2","Process-3"
"0.11","Job-3","Season-1","Strategy-2","Process-3"
"0.08","Job-2","Season-1","Strategy-2","Process-3"
"0.08","Job-2","Season-1","Strategy-2","Process-3"
"0.15","Job-3","Season-1","Strategy-2","Process-3"
"0.16","Job-3","Season-1","Strategy-2","Process-3"
"0.16","Job-3","Season-1","Strategy-2","Process-3"
"0.16","Job-3","Season-1","Strategy-2","Process-3"
"0.16","Job-3","Season-1","Strategy-2","Process-3"
"<0.03","Job-3","Season-1","Strategy-2","Process-2"
"0.02","Job-3","Season-1","Strategy-2","Process-2"
"0.04","Job-3","Season-1","Strategy-2","Process-2"
"0.04","Job-3","Season-1","Strategy-2","Process-2"
"0.08","Job-3","Season-1","Strategy-2","Process-3"
"0.21","Job-3","Season-1","Strategy-2","Process-3"
"0.24","Job-3","Season-1","Strategy-2","Process-3"
"0.16","Job-3","Season-1","Strategy-2","Process-3"
"0.33","Job-3","Season-1","Strategy-2","Process-3"
"<0.04","Job-3","Season-1","Strategy-2","Process-2"
"<0.03","Job-3","Season-1","Strategy-2","Process-2"
"0.08","Job-3","Season-1","Strategy-2","Process-2"
"<0.05","Job-3","Season-1","Strategy-2","Process-1"
"0.16","Job-3","Season-1","Strategy-2","Process-1"
"0.16","Job-2","Season-1","Strategy-2","Process-1"
"<0.05","Job-3","Season-1","Strategy-2","Process-2"
"<0.06","Job-3","Season-1","Strategy-2","Process-2"
"<0.08","Job-3","Season-1","Strategy-2","Process-2"
"0.06","Job-3","Season-1","Strategy-2","Process-2"
"<0.12","Job-3","Season-1","Strategy-2","Process-2"
"<0.05","Job-3","Season-1","Strategy-2","Process-2"
"<0.05","Job-2","Season-1","Strategy-2","Process-2"
"0.05","Job-3","Season-1","Strategy-2","Process-2"
"0.05","Job-3","Season-1","Strategy-2","Process-2"
"<0.07","Job-2","Season-1","Strategy-2","Process-2"
"0.05","Job-3","Season-1","Strategy-2","Process-2"
"0.06","Job-3","Season-1","Strategy-2","Process-2"
"0.18","Job-2","Season-1","Strategy-2","Process-2"
"<0.07","Job-3","Season-1","Strategy-2","Process-2"
"<0.07","Job-3","Season-1","Strategy-2","Process-2"
"<0.08","Job-3","Season-1","Strategy-2","Process-2"
"<0.08","Job-2","Season-1","Strategy-2","Process-2"
"<0.11","Job-3","Season-1","Strategy-2","Process-2"
"0.08","Job-3","Season-1","Strategy-2","Process-2"
"<0.1","Job-3","Season-1","Strategy-2","Process-2"
"0.04","Job-4","Season-1","Strategy-2","Process-2"
"0.04","Job-4","Season-1","Strategy-2","Process-2"
"<0.04","Job-3","Season-1","Strategy-2","Process-2"
"<0.04","Job-3","Season-1","Strategy-2","Process-2"
"<0.04","Job-3","Season-1","Strategy-2","Process-2"
"<0.04","Job-3","Season-1","Strategy-2","Process-2"
"<0.04","Job-3","Season-1","Strategy-2","Process-2"
"<0.05","Job-2","Season-1","Strategy-2","Process-2"
"<0.04","Job-2","Season-1","Strategy-2","Process-2"
"0.06","Job-2","Season-3","Strategy-2","Process-3"
"0.21","Job-3","Season-3","Strategy-2","Process-3"
"0.32","Job-3","Season-3","Strategy-2","Process-3"
"0.32","Job-3","Season-3","Strategy-2","Process-3"
"0.32","Job-3","Season-3","Strategy-2","Process-3"
"0.04","Job-3","Season-3","Strategy-2","Process-2"
"0.06","Job-2","Season-3","Strategy-2","Process-2"
"0.06","Job-2","Season-3","Strategy-2","Process-2"
"0.08","Job-3","Season-3","Strategy-2","Process-2"
"0.07","Job-2","Season-3","Strategy-2","Process-2"
"0.08","Job-3","Season-3","Strategy-2","Process-2"
"0.09","Job-3","Season-3","Strategy-2","Process-2"
"0.09","Job-2","Season-3","Strategy-2","Process-2"
"0.08","Job-3","Season-3","Strategy-2","Process-2"
"0.08","Job-3","Season-3","Strategy-2","Process-2"
"0.08","Job-3","Season-3","Strategy-2","Process-2"
"0.07","Job-2","Season-3","Strategy-2","Process-2"
"0.08","Job-3","Season-3","Strategy-2","Process-2"
"0.26","Job-4","Season-3","Strategy-2","Process-3"
"0.17","Job-3","Season-3","Strategy-2","Process-3"
"0.2","Job-3","Season-3","Strategy-2","Process-3"
"0.19","Job-3","Season-3","Strategy-2","Process-3"
"0.24","Job-3","Season-3","Strategy-2","Process-3"
"0.28","Job-3","Season-3","Strategy-2","Process-3"
"0.31","Job-3","Season-3","Strategy-2","Process-3"
"0.3","Job-3","Season-3","Strategy-2","Process-3"
"0.4","Job-2","Season-3","Strategy-2","Process-3"
"0.08","Job-3","Season-3","Strategy-2","Process-3"
"0.08","Job-3","Season-3","Strategy-2","Process-3"
"0.08","Job-2","Season-3","Strategy-2","Process-3"
"0.21","Job-4","Season-3","Strategy-2","Process-3"
"0.12","Job-3","Season-3","Strategy-2","Process-3"
"0.08","Job-1","Season-3","Strategy-2","Process-3"
"0.2","Job-3","Season-3","Strategy-2","Process-3"
"0.16","Job-2","Season-3","Strategy-2","Process-3"
